,TITLE,PRICE
70,Smart Tv 50'' Aws-tv-50-bl-02-a 4k Android Hdr10 Dolby Aiwa 110V/220V,1.039
71,Impressora a cor multifuncional Epson EcoTank L3250 com wifi preta 110V,1.399
72,Mercado Pago: Máquina De Cartão Point Air - 4g/wifi E Nfc,389
73,Cadeira de escritório Mesh ergonômica  preta com estofado de mesh Pathon fly X11,439
74,Lavadora De Alta Pressão Kärcher Compacta 1500psi 1400w Cor Amarelo 110V,490
75,Samsung Galaxy A15 128gb Azul-escuro 4gb RAM Tela 6.5 90hz 5G Dual SIM,557
76,Smart Tv 43'' Samsung T5300 Full Hd Tizen Hdmi Usb,1.033
77,Impressora função única HP LaserJet 107a branca e preta 110V - 127V,1.210
78,Parafusadeira Furadeira 21v 2 Baterias Titanium C/ Kit Acess,579
79,Modulo Taramps Ts400x4 400w 2 Ohms Rca Ts 400x4 Amplificador 400rms T400 4 Canais Som Automotivo,839
80,Samsung Galaxy A25 256gb 8gb Ram Tela 6.5 120hz 5g Dual Chip Cor Azul-escuro,845
81,"Smart TV LG AI ThinQ 43LM631C0SB LED webOS Full HD 43"" 100V/240V",1.365
82,Impressora a cor multifuncional Epson EcoTank L3250 com wifi preta 220V,2.399
83,Micro-ondas Philco 20 L Pmo23bb Multifunções Branco 110v,3.915
84,Lavadora de alta pressão Kärcher Uso Intensivo HD 585 Prof S cinza e preta de 2.2kW com 2176psi de pressão máxima 220V - 60Hz,679
85,Kit Câmera Interna Wi-fi Intelbras Im3 + Microsd 32gb Cor Branco,936
86,Apple iPhone 13 (128 GB) Meia-noite - Distribuidor Autorizado,128
87,Tv 32'' Led Hd Ptv32a21dfh Preta Philco Bivolt,189
88,Fritadeira Air Fryer Oven Philco Pfr2200 4 Em 1 12l 1800w Cor Preta 220V,64
89,Kit Teclado E Mouse Sem Fio Mk220 Preto Logitech,90
90,Prancha Lizze Chapinha Extreme Profissional 480ºf Salão Cor Cinza 110V,239
91,"Samsung Galaxy A15 5G Tela de 6.5"" 90Hz 128GB Dual Chip Verde Claro",319
92,Smart Tv 43'' Android Dolby Aws-tv-43-bl-02-a Aiwa Bivolt,1.189
93,Mouse Logitech M280 S/fio Rc Nano Preto,1.831
94,Microondas Electrolux 31 Litros Capacidade Prata Mi41s 220V,1.179
95,Furadeira parafusadeira sem fio de 10mm Wap BPF 12K3 12V + acessório 110V/220V,1.746
96,Transformador 5000va V&m Bivolt 110 220 E 220 110 12000 Btus,1.189
97,Apple iPhone 13 (128 GB) - Estelar - Distribuidor Autorizado,1.831
98,"Smart TV Samsung BET-M Full HD 43"" 110V/220V",1.179
99,Apple iPhone 13 (128 GB) - Estelar - Distribuidor Autorizado,1.746
100,"Smart TV Samsung BET-M Full HD 43"" 110V/220V",599
101,Cadeira de escritório Pctop Office Fit 1001 9050 ergonômica  preta com estofado de mesh y tecido,1.099
102,Pc Completo Fácil Intel I5 08gb Ssd 240gb + Monitor Led 15'',252
103,Parafusadeira Furadeira 21v 2 Baterias Titanium C/ Kit Acess,399
104,Jogo De Lençol Solteiro Com Fronha Ponto Palito Em 200 Fios ,429
105,Cooktop 5 Bocas Itatiaia Essencial Preto Bivolt 127V/220V,549
106,CeraVe Crema Hidratante Sin Fragancia 454g,661
107,Fone De Ouvido Bluetooth Sem Fio Tws Microfone Todos Celular,752
108,"Smartphone Moto G84 5g 6,55'' 256gb 8gb Grafite Motorola",992
109,Smart Tv 55'' 4k Android 55pug7406 Philips Bivolt,1.079
110,Geladeira Electrolux Cycle Defrost 240L Degelo Prático Uma Porta Branca RE31 220v,163
111,Notebook Vaio Fe15 Full Hd I5-1235u 8gb Ssd 256gb Windows 11 Home,214
112,Tablet Tab M9 Octa-core 4gb 64gb Wi-fi Android 12 Lenovo,39
113,Fritadeira Sem Óleo Air Fryer Afn-40-bft 4l 1500w Mondial Cor Preto 110V,78
114,Computador Completo Intel Core I5 16gb Ssd 480gb Monitor 19,1.899
115,iPhone 14 Plus (128 GB) - Estelar Apple - Distribuidor autorizado,3.165
116,Smart Tv 43 Britânia Led Btv43e3aagssgblf Android Tv Dolby,999
117,Geladeira frigobar Philco PH85N branca 68L 127V,1.399
118,Conjunto Travel System Reverse Duo Preto Rajado Cosco Kids,765
119,Chapinha de cabelo Lizze Profissional Extreme cinza 220V,885
120,"Furadeira e Parafusadeira 13mm Sem Fio Dewalt, Modelo DCD7781D2 Furadeira de Impacto com Maleta de Ferramentas 2 Baterias 1 Carregador Bivolt",314
121,Motorola Moto G24 128gb Rosa Dual Sim 4gb Ram Tela De 6.6 Hd+,396
122,Smart Tv Led 50 Google Tv Uhd 4k Tcl 50p635 3 Hdmi 1 Usb,2.375
123,Paco Rabanne Olympéa Original EDP 50ml para feminino,3.799
124,Frigobar Pfg50p 45 Litros Preto Philco 110v,109
125,Pampers fralda descartável pants ajuste total 78 unidades tamanho XXG,199
126,Short Praia Masculino Bermuda Verão Academia Treino Corrida,1.378
127,Samsung Galaxy A15 5G Dual SIM 128GB Azul Claro 4GB RAM,2.298
128,Smart Tv 43lm6370 Full Hd 43 Thinqai Bluetooth Hdr LG Bivolt,2.507
129,Micro-ondas 27 Litros St55lmrun Prata Panasonic 110v,2.899
130,SSD SATA 2.5 240GB UP GAMER UP500,119
131,Volante Gamer Logitech G920 Driving Force PC/XboxOne/Series,179
132,Lavadora De Alta Pressão 1500w 1750psi Wap Ousada Plus 2200 110V,699
133,Motorola Moto G54 5G 256 GB Vegan Leather Verde 8GB RAM,1.299
134,Smart Gaming Tv 50'' Neo Qled 4k 50qn90c 2023 Samsung Bivolt,289
135, Lizze Chapinha de cabelo Profissional Extreme cinza 127V,362
136,Impressora Epson Tm-T20x preta 110V/220V C31CH26031,2.799
137,Ar Condicionado LG Voice Dual Inverter Ia 9000 Btus Só Frio 220v Branco,3.681
138,Apple iPhone 14 (128 GB) - Estelar - Distribuidor autorizado,1.767
139,Smart Tv P635 55'' Led 4k Uhd Hdr Google Tv Tcl Bivolt,2.899
140,"Monitor Samsung UJ59 32"" UHD, Tela Plana, Painel VA, 60Hz, 4ms, HDMI, FreeSync, Game Mode",1.880
141,"Fritadeira Elétrica AF-30-I Air Fryer Sem Óleo 3,5L Cor Preto e Inox Mondial 127V",4.528
142,Suplemento Em Pó Dark Lab Premium Em Refil De 500g,1.119
143,Samsung Galaxy A54 5G 256GB Preto 8GB RAM,1.270
144,Smart Tv 32'' Hd Assistentes Integrados 32lq620 LG Bivolt,69
145,Aquecedor de Agua Versátil 3 Temperaturas 220v Lorenzetti,89
146,Notebook Acer A315-24p-r611 R5 8gb 256gb Ssd 15.6'' W11h Cor Prateado,489
147,Cooktop 4 Bocas A Gás Dako Supreme Tripla Chama Preto Bivolt,699
148, Moto G54 Dual SIM 256 GB grafite 8 GB RAM,343
149,Monitor Lcd Full Hd Antirreflexo 21.5  Lenovo Thinkvisio Cor Preto 100V/240V,434
150, Moto G54 Dual SIM 256 GB grafite 8 GB RAM,999
151,Monitor Lcd Full Hd Antirreflexo 21.5  Lenovo Thinkvisio Cor Preto 100V/240V,1.665
152,Aspirador De Pó E Água 1600w 20 Litros Gtw Inox 20 Wap Cor Aço inoxidável/Preto 220V,1.725
153,Bota Botina De Segurança Coturno Masculina Marluvas Com Ca,2.299
154,Parafusadeira Furadeira 21v 2 Baterias Titanium C/ Kit Acess,859
155,Fone De Ouvido Bluetooth Sem Fio Tws Microfone Todos Celular,989
156,"Smart Tv 40"" Btv40g7pr2csblf Roku Tv Led Dolby Audio Britânia",219
157,Bicicleta Ergométrica Para Spinning Mecanica 8kg Odin Fit Cor Preto/Vermelho,329
158,Máquina Inversora De Solda Mini Mma 120a + Máscara + Luvas,187
159,Samsung Galaxy A34 5G 5G 256 GB preto 8 GB RAM,221
160,Climatizador De Ar Ventisol Clin 60 Pro 60 Litros 150w,1.459
161,Lorenzetti Loren Shower Eletrônica chuveiro 220V 7500w,2.415
162,Parafusadeira Furadeira Sem Fio Bateria 12v P/ Madeira Metal Cor Amarelo/Preto Frequência 60 110V/220V,1.629
163,Samsung Smart Tv 43'' Uhd 4k 43cu7700 2023,1.887
164,Bateria Moto Titan Fan Biz Bros Fazer 125 150 160 Mix Flex,1.085
165,Motorola Moto G54 5G 256 GB Azul 8 GB RAM,1.378
166,Teclado Com Fio Usb Logitech K120 Com Layout Abnt2 Cor de teclado Preto Idioma Português Brasil,579
167,Aparelho Medidor De Pressão Arterial Digital De Braço Hem-7320 Omron,906
168,Caixa Amplificada Connect Lights Cm-400 Preta Mondial Bivolt Cor Preto 110V/220V,2.339
169,Micro-ondas de Bancada Electrolux Prata 27L com 55 receitas pré-programadas no Menu Online MS37R 220v,2.764
170,Multilaser E 2 Dual SIM 32 GB preto 1 GB RAM,269
171,"Smart Tv 40"" S5400a Led Fhd Android Preta Tcl 110V/220V",399
172,Intelbras FR 10 Cor Preto Black Piano,3.637
173,Parafusadeira Furadeira 21v 2 Baterias Profissional Bivolt,7.599
174,"Mesa Dobravel Vira Maleta Com Alça Portatil 1,80m Camping",843
175,Aspirador De Pó Vertical Com Fio Stk12 1000w Electrolux Cor Preto 110V,1.199
176,Samsung Galaxy A15 4G Dual SIM 128 GB Azul escuro 4 GB RAM,672
177,Smart Tv Uhd 50ur8750 50 Polegadas 4k 2023 LG,1.098
178,Bicicleta Aro 29 Aço Carbono Ksvj Freios Disco Suspensão 21v,121
179,Multiprocessador Philco 9 Em 1 Pmp1600v 1700w Vermelho 127v,152
180,Projetor Hy320 Wifi Hd 390 Ansi Android 13.0 Smart Tvbox Br,417
181,Kit 4 Câmera Wifi Prova D'água Infravermelho C/4 Cartão 32gb Cor A8.c/cartâo.32gb,698
182,Apple iPhone 12 (128 GB) - Branco - Distribuidor autorizado,999
183,Smart Tv S5400a 43 Led Fhd Android Tv Tcl Bivolt,1.665
184,Micro-ondas Electrolux de bancada Branco com Função Tira Odor e Manter Aquecido 34L MEO44 127v,1.376
185,Parafusadeira Furadeira 3/8 Bivolt A Bateria 12v Cor Amarelo Frequência 60Hz 110V/220V,1.899
186,Pc Completo Fácil Intel I5 08gb Ssd 240gb + Monitor Led 15'',70
187,Ar-condicionado Portátil Philco Pac12000f5 Frio Vírus Protec Cor Branco 220V,95
188,Smartphone Moto G34 5g Dual Sim 128gb Preto 4gb Ram,799
189,Robô Aspirador De Pó Erb10 Preto Electrolux Bivolt 127V/220V,869
190,Lavadora De Alta Pressão Wap 4100 Profissional Motor Indução 220V,179
191,Jogo De Lençol Solteiro Com Fronha Ponto Palito Em 200 Fios ,220
192,"Fritadeira Airfryer Digital Philips Walita 4,1l Ri925 110v Cor Preto",187
193,Samsung Galaxy A24 128 GB preto 4 GB RAM,214
194,Smart Tv 50'' 4k 50nano77 Nanocell Thinq Ai E Webos LG,3.637
195,Cafeteira Espresso 3 Corações Lov Automática  127v Cor Vermelho,7.599
196,Lavadora de alta pressão Wap Líder 2200 amarela e preta de 1750W com 1800psi de pressão máxima 127V,1.699
197,Motorola Moto G84 5G 256 GB Viva Magenta 8 GB RAM ,2.815
198,"Fritadeira Sem Óleo Super Cook Fryer Frt410 3,8l Cadence Cor Preto 110V",3.637
199,"Monitor Gamer Samsung Odyssey G30 24” FHD, Tela Plana, Painel VA, 144Hz, 1ms, HDMI, FreeSync Premium",7.599
200,Smart Tv 58'' Ptv58g7pagcsbl Android Tv 4k Led Philco Bivolt,1.699
201,"Monitor Gamer Samsung Odyssey G30 24” FHD, Tela Plana, Painel VA, 144Hz, 1ms, HDMI, FreeSync Premium",2.815
202,Smart Tv 58'' Ptv58g7pagcsbl Android Tv 4k Led Philco Bivolt,197
203,Jogo De Soquete 57 Peças 1/4 Catraca Chave Allen Stels,224
204,Pc Completo Fácil Intel I5 08gb Ssd 240gb + Monitor Led 15'',992
205,Bota Botina De Segurança Coturno Masculina Marluvas Com Ca,1.079
206,Parafusadeira Furadeira 21v 2 Baterias Titanium C/ Kit Acess,219
207,Aspirador De Pó Wap High Speed Plus 1350w Vertical E De Mão 110V,329
208,Carrinho De Bebê Toffy Cosco - 0 À 15 Kg - Preto Absoluto,44
209,Panela De Pressão Elétrica Digital 5l Mondial Preto Pe-38 Frequência 60hz 110V,52
210,Smart Tv 43 4k Uhd Thinq Ai 43ur7800 Hdr 10 Pro LG Bivolt,453
211,Mesa Em L Industrial Escrivaninha De Canto Nórdico Vintage Ferro E Madeira Laminada Com Preto E-led,518
212,Aspirador De Pó E Água 1600w 20 Litros Gtw Inox 20 Wap Cor Prateado 110V,73
213,Apple iPhone 14 Plus (128 GB) - Meia-noite - Distribuidor autorizado,115
214,Modulo Taramps Amplificador Som 800w 4 Canais 2 Ohms Ts800x4 Cor Branco,39
215,Ferro De Passar A Vapor Esi10 Efficient Azul Electrolux 110V,78
216,Smart Tv Led 42'' Ptv42g6fr2cpf Roku Dolby Audio Preta Philco 110V/220V,1.484
217,"Notebook ASUS Vivobook X1502ZA-EJ1764W Intel Core i3 1220P 3,3GHz 4Gb Ram 256Gb SSD Windows 11 Home 15,6” Led Fhd Intel UHD Graphics Prata Metálico",1.999
218,Ventilador De Mesa Super Power Vsp-30-b 30cm 6 Pás Mondial Cor da estrutura Preto Cor das pás Prata 127V,2.199
219,Apple iPhone 12 (128 GB) - Preto - Distribuidor autorizado,4.000
220,Impressora Multifuncional Hp Smart Tank 584 All-in-one Wi-fi Usb Colorida,1.879
221,"Aspirador De Pó Vertical Potente 2000w 1,6l Wap Life Speed 110V",2.049
222,Cuba Pia Cozinha Gourmet Aço Inox 50x40 Tubrax C/ Acessórios,2.699
223,Smart Tv 32 Hd Roku Tv 32s5135/78g Preta Aoc Bivolt,3.799
224,Tablet Samsung Sm-x210nzaazto A9+wifi 11 4gb Ram 64gb Cor Grafite,854
225,Ar Condicionado Inverter Windfree Sem Vento Connect Samsung 12000 BTUs Só Frio 220v,1.299
226,Creatina Monohidratada 1Kg - 100% Pura - Soldiers Nutrition,338
227,Apple iPhone 12 (64 GB) - Preto - Distribuidor Autorizado,586
228,Pacote De Fraldas Supersec Tamanho G 80 Unidades Pampers,1.274
229,Notebook Positivo Vision C15 4GB 128GB 15.6'' Hd Cinza Windows 11 Home,1.415
230,Leitor De Código De Barras Elgin Flash Usb 1d Preto 42flash,4.321
231,Samsung Galaxy A15 4G Dual SIM 128 GB verde claro 4 GB RAM,5.699
232,Micro-ondas Me36b Efficient 36 Litros Branco Electrolux 110V,1.342
233,Parafusadeira Furadeira Impacto 21v Profissional Wap + Acess,2.165
234,Combo Duplo Whey Fusion + 2x Bcaa + 2x Creatina + Shaker,935
235,Xiaomi Poco C65 Dual Sim 256 Gb Preto 8 Gb Ram Global Top,1.613
236,Edredom Sherpa Cobertor E Coberdrom Casal Queen Grosso Cores,662
237,Fogão  de chão Itatiaia Fogão Star  Star Clean a gás 4 queimadores  branco 110V/220V porta com visor 51L,1.125
238,"Ventosa Dupla P/ Vidros, Mármores, Espelhos Até 80kg (3 Uni)",417
239,Fone De Ouvido Qcy T13 Com 4 Microfones E Bluetooth 5.1 Cor Preto,698
240,Cadeira de escritório Travel Max Presidente ergonômica  negro com estofado de couro sintético,1.149
241,Smartphone Motorola G34 5G 256 GB Verde 8 GB RAM,1.351
242,Bicicleta Spinning Com Roda De Inércia De 13kg Wct Fitness Cor Preto,812
243,Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,999
244,Geladeira frost free Electrolux DFN41 branca com freezer 371L 220V,2.007
245,Select Fibras Luxo kit 2 travesseiros fibra antialérgica 70cm e 50cm branco,3.345
246,"Bicicleta Bike Aro 29 Mtb Freio Disco 21v Gts Pro M5 Intense Cor Preto/Vermelho Tamanho do quadro 21 """,329
247,"Smartphone Moto G24 Tela 6,6'' Dual Sim 128gb Verde Motorola",548
248,Monitor Dell 24'' S2421hn Amd Freesync 75 Hz 110V/240V Preto e Prata,899
249,Electrolux Hidrolux AWD01 aspirador de pó e água 1400W 5L com conjunto de acessórios e rodas 360° 127V,1.279
250,Pneu Kumho Ecowing ES31 P 185/65R15 88 H,124
251,Kit Moto G84 5g + Moto Buds 135 Cor moto g84 - Azul - Vegan Leather,145
252,Parafusadeira Chave De Impacto 1/2 Bateria Lítio 48v Bivolt,33
253,Kit Moto G84 5g + Moto Buds 135 Cor moto g84 - Azul - Vegan Leather,39
254,Fraldas Descartáveis Premium Care Tamanho XXG Com 56 Unidades Pampers,999
255,Pc Completo Fácil Intel I5 08gb Ssd 240gb + Monitor Led 15'',1.665
256,Bota Botina De Segurança Coturno Masculina Marluvas Com Ca,1.679
257,Parafusadeira Furadeira 21v 2 Baterias Titanium C/ Kit Acess,2.098
258,Micro-ondas Mo-01-21-w 21 Litros 1200w Branco Mondial 110V,673
259,Papel Higiênico Toque De Seda Folha Dupla 24 Unidades Neve,764
260,Lavadora De Alta Pressão Kärcher Compacta 1500psi 1400w Cor Amarelo/Preto 220V,149
261,Aspirador De Pó Turbo Cycle Ap-34 800w Mondial Cor Branco/Lilás 110V,188
262,Smartphone Galaxy M53 5g 128gb 8gb Verde Samsung,1.648
263,Bicicleta Ergométrica Vertical Dobrável Exercicio Para Perna Cor Preto,1.999
264,"Fritadeira Sem Óleo Air Fryer Af-55i 5,5l Preto e Inox 127V Mondial",479
265,Lavadora Desobstruidora Alta Pressão 1800w Wl 2660 Turbo Wap Cor Unic 220V,540
266,"Jogo C/ 4 Toalha De Banho Gigante 70 X 1,40 Toalhão Algodão",1.205
267,Cafeteira Elétrica Efficient Ecm10 15 Xícaras Electrolux Cor Inox 110V,1.699
268,Suplemento Em Pó Integralmedica Creatina Hardcore Sabor Neutro 300mg por dose,3.999
269,"Fritadeira Sem Óleo Super Cook Fryer Frt410 3,8l Cadence Cor Preto 220V",4.999
270,Cômoda Ditália 6 Gavetas Dm-221 Branco Cozy,417
271,Smart Tv C645 Qled 55 4k Google Tv Dolby Vision Gaming Tcl,698
272,Micro-ondas Philco Pmo23e 20l Espelhado 1100w Tira Odor 110v 127V,608
273,"Impressora De Etiquetas Elgin L42 Pro, Usb/ethernet, 203dpi Cor Preto 110v/220v",700
274,Fralda Pampers Jumbo Premium Care XG com 60 unidades,2.379
275,Kit 2 Câmera Ip Wifi Dome Rotativa Visão Noturna A8 Cor Branco,2.699
276,Controle joystick sem fio Sony PlayStation 5 DualSense midnight black,3.989
277,"Smartphone Samsung Galaxy M34 5g, 128gb, 6gb, Tela 6.5 Cor Prata",5.499
278,"Ventilador de teto Ventisol Fênix branco com 3 pás de  plástico, 96 cm de diâmetro 220 V",2.273
279,Bicicleta Aro 29 Krw Alumínio 24 Vel Freio A Disco X42,2.849
280,Ar Cond Hw Eco 2 Inverter Connect Elgin 18k F 220v R32,1.550
281,Kit 12 Pares Meia Masculino Cano Curto Soquete Varias Cores,1.999
282, Smartphone Motorola Moto Edge 40 Neo 5G Dual SIM 256 GB preto 8 GB RAM,299
283,Botas Femininas Texana Rodeio Country Cano Alto Bico Fino,529
284,Soprador Térmico Articulado 2000w/1500w 300 À 600°c Razi,98
285,Porteiro Residencial Ipr 8010 Preto Intelbras bivolt,122
286,100 Cabides De Madeira Nobre Marfim Com Presilha Para Roupas,2.024
287,Colchão Casal Emma One Light Ortopédico -  Cor Branco,2.632
288,Ventilador Osc Parede 60cm New Preto 127v Premium Ventisol,1.088
289,Piscina Inflável redonda Mor 001053 de 2.4m x 63cm 2400L azul caixa,1.765
290,Cadeira Secretária Giratória De Escritório Ergonômica Mesh Cor Preto,205
291,Aparelho De Medir Pressão Digital De Braço G-tech BSP11,258
292,Forno Elétrico De Bancada Nardelli 60litros Top60 Black 110v Cor Preto 127V,2.549
293,Smart Tv 43pfg6918/78 Full Hd 43'' Google Philips 110v/220v,3.399
294,Ssd Pc 1tb Sata Ill Up Gamer Up500,566
295,Mercado Pago: Máquina De Cartão Point Smart 2 4g Wifi,899
296,Fritadeira Elétrica Airfryer Family Eaf50 5l Electrolux 220v Cor Grafite,1.299
297,Electrolux 2 em 1 PowerSpeed aspirador de pó STK15 vertical com fio ultra filtro hepa 1450w 1.6 L Cinza 220V,1.943
298,Impressora Multifuncional Hp 4103fdw Laserjet Pro Mono 110v Cor Branco,569
299,Estante para livro Móveis Brasil Premium Livreiro Estante Multiuso Armário Organizador Livros cor branco de mdp 177cm x 53.5cm x 30cm com  5 prateleiras,712
300,Impressora a cor multifuncional Canon Pixma G3110 com wifi preta 110V/220V G3110,1.299
301,Cafeteira portátil Nescafé Dolce Gusto Arno Mini Me automática preta para cápsulas monodose 220V,1.943
302,Aparador De Grama Bipartido 1500w Gam1500bp - Garthen Cor Verde 127v,569
303,Calça Legging Lupo Sport Feminina Fitness Academia Original,712
304,Aparador De Grama Bipartido 1500w Gam1500bp - Garthen Cor Verde 127v,455
305,"Sofá Retrátil/reclinável Verona 2,00m Velut Cinza C/ Molas",598
306,Pc Completo Fácil Intel I5 08gb Ssd 240gb + Monitor Led 15'',163
307,Bota Botina De Segurança Coturno Masculina Marluvas Com Ca,214
308,Parafusadeira Furadeira 21v 2 Baterias Titanium C/ Kit Acess,219
309,Cooktop 4 Bocas A Gás Cook Chef 4 Preto Philco 110V/220V,329
310,Fone Qcy Ht05 Melobuds Bluetooth 5.2 Com Cancelamento Anc Cor Preto,39
311,Lavadora Essencial Care - Top Load 11kg Electrolux 127v,78
312,Conjunto Jogo 13pç Antiaderente Teflon Inmetro Tampa Vidro,1.319
